dt_created,dt_updated,dt_filename,advertiser_id,country_name,insertion_order_name,insertion_order_id,unique_reach_total_reach,unique_reach_click_reach,unique_reach_impression_reach,impressions,unique_reach_average_impression_frequency,fetch_date
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018103671,490542,6126,490540,992247,2.02,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1017742994,690647,5286,690608,1311575,1.9,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018102696,622990,3786,622986,1097904,1.76,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1017953457,495675,18646,495675,3018424,6.09,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018682457,685770,17632,685770,2512741,3.66,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1017743837,2460650,27897,2460131,4478791,1.82,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1017942347,335198,7787,335159,1495693,4.46,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018703630,1419818,591,1419818,6418490,4.52,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018102237,295822,3044,295819,528715,1.79,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1017941108,693107,16688,693107,3200260,4.62,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018759718,130526,,130526,201140,1.54,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1017743000,709062,3221,707687,1250315,1.77,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018755405,612087,3624,611881,1966102,3.21,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018102699,2009965,19370,2009527,4269005,2.12,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018682451,478241,8423,476906,1647614,3.45,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1019107927,445712,119,445712,1098216,2.46,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1019113651,957459,432,957422,3392027,3.54,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018755402,201735,933,201699,684855,3.4,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018783442,207340,2245,206927,559312,2.7,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018100737,5152354,99956,5151986,14193653,2.75,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018745339,460215,9858,460206,1258209,2.73,26-11-2024
